iso3,age,subject,value,year,subject_label
LUX,Y7,PHED,10.71429,2023,Physical education and health
ESP,Y7,READ,24.28172,2023,"Reading, writing and literature"
LTU,Y16,PHED,6.26314,2023,Physical education and health
PRT,Y17,READ,19.30435,2023,"Reading, writing and literature"
ROU,Y12,PHED,7.40741,2023,Physical education and health
FIN,Y12,READ,17.53247,2023,"Reading, writing and literature"
IRL,Y11,MATH,16.68,2023,Mathematics
GRC,Y10,READ,22.5974,2023,"Reading, writing and literature"
EST,Y13,SLAN,9.57447,2023,Second language
ISR,Y7,MATH,15.94164,2023,Mathematics
FRA,Y13,READ,16.73554,2023,"Reading, writing and literature"
LUX,Y6,READ,39.28571,2023,"Reading, writing and literature"
ROU,Y17,SSCI,19.58874,2023,Social sciences
HUN,Y13,NSCI,12.90323,2023,Natural sciences
ESP,Y10,ARTS,8.97867,2023,Arts
NOR,Y14,PHED,8.50496,2023,Physical education and health
IRL,Y12,SLAN,8.60585,2023,Second language
ROU,Y16,READ,11.7729,2023,"Reading, writing and literature"
AUT,Y6,MATH,17.3913,2023,Mathematics
GRC,Y12,SLAN,6.06061,2023,Second language
ESP,Y7,PHED,10.16867,2023,Physical education and health
KOR,Y12,NSCI,20.20202,2023,Natural sciences
SVN,Y6,READ,27.09724,2023,"Reading, writing and literature"
ISL,Y7,SLAN,1.66257,2023,Second language
LUX,Y11,PHED,7.14286,2023,Physical education and health
AUT,Y7,PHED,13.04348,2023,Physical education and health
HRV,Y14,PHED,7.69231,2023,Physical education and health
CZE,Y8,NSCI,9.67742,2023,Natural sciences
CHL,Y9,ARTS,10.80237,2023,Arts
CHL,Y12,MATH,16.03792,2023,Mathematics
NOR,Y12,SSCI,7.66322,2023,Social sciences
IRL,Y13,PHED,4.84079,2023,Physical education and health
DNK,Y15,PHED,5.0,2023,Physical education and health
EU25,Y11,READ,18.46421,2023,"Reading, writing and literature"
CHL,Y10,SLAN,8.09853,2023,Second language
EST,Y11,OLAN,3.61446,2023,Other languages
POL,Y10,ARTS,8.33333,2023,Arts
ROU,Y8,MATH,20.0,2023,Mathematics
DNK,Y13,NSCI,15.0,2023,Natural sciences
LUX,Y12,ARTS,11.25656,2023,Arts
LTU,Y11,ARTS,7.64035,2023,Arts
ROU,Y6,SLAN,5.26316,2023,Second language
ITA,Y13,SLAN,10.0,2023,Second language
IRL,Y6,NSCI,4.0,2023,Natural sciences
OECD,Y15,SLAN,10.39437,2023,Second language
DEU,Y8,PHED,10.81521,2022,Physical education and health
LVA,Y15,ARTS,6.93069,2023,Arts
HUN,Y10,NSCI,7.14286,2023,Natural sciences
OECD,Y7,MATH,16.59076,2023,Mathematics
FRA,Y14,OLAN,9.07258,2023,Other languages
PRT,Y6,READ,28.0,2023,"Reading, writing and literature"
CHL,Y17,PHED,1.21678,2023,Physical education and health
ESP,Y8,SSCI,6.45362,2023,Social sciences
HUN,Y15,ARTS,5.88235,2023,Arts
EST,Y9,ARTS,22.05882,2023,Arts
ESP,Y13,NSCI,9.68004,2023,Natural sciences
TUR,Y9,SLAN,6.66667,2023,Second language
JPN,Y8,SLAN,3.34033,2023,Second language
ESP,Y11,READ,21.65488,2023,"Reading, writing and literature"
FRA,Y10,READ,33.33333,2023,"Reading, writing and literature"
LVA,Y8,SSCI,4.28571,2023,Social sciences
DEU,Y11,MATH,14.07853,2022,Mathematics
NOR,Y15,SLAN,8.46682,2023,Second language
DEU,Y15,READ,11.6399,2022,"Reading, writing and literature"
NOR,Y8,READ,29.85068,2023,"Reading, writing and literature"
FIN,Y9,MATH,17.04545,2023,Mathematics
JPN,Y9,READ,22.39488,2023,"Reading, writing and literature"
ITA,Y14,PHED,7.61934,2023,Physical education and health
HRV,Y8,READ,27.77778,2023,"Reading, writing and literature"
JPN,Y10,NSCI,9.59781,2023,Natural sciences
EST,Y15,MATH,13.82979,2023,Mathematics
CRI,Y10,SLAN,11.62791,2023,Second language
CRI,Y12,MATH,11.90476,2023,Mathematics
TUR,Y12,READ,14.24096,2023,"Reading, writing and literature"
OECD,Y14,NSCI,13.11657,2023,Natural sciences
LTU,Y16,NSCI,17.22362,2023,Natural sciences
SVK,Y8,READ,28.0,2023,"Reading, writing and literature"
HUN,Y11,READ,14.28571,2023,"Reading, writing and literature"
FIN,Y10,PHED,9.50704,2023,Physical education and health
IRL,Y7,MATH,16.68,2023,Mathematics
LTU,Y7,ARTS,17.14763,2023,Arts
CZE,Y13,PHED,8.19672,2023,Physical education and health
GRC,Y11,NSCI,16.14999,2023,Natural sciences
KOR,Y10,NSCI,15.625,2023,Natural sciences
BFR,Y17,SLAN,14.28571,2023,Second language
ITA,Y12,PHED,6.66667,2023,Physical education and health
IRL,Y13,SLAN,8.60585,2023,Second language
SVK,Y15,OLAN,9.83607,2023,Other languages
ISL,Y7,ARTS,18.75078,2023,Arts
ISL,Y11,READ,16.18971,2023,"Reading, writing and literature"
SVN,Y6,ARTS,20.64552,2023,Arts
IRL,Y14,SLAN,8.60585,2023,Second language
CZE,Y14,PHED,8.19672,2023,Physical education and health
DNK,Y15,SLAN,7.5,2023,Second language
LUX,Y11,SSCI,7.14286,2023,Social sciences
ITA,Y15,READ,14.42927,2023,"Reading, writing and literature"
CZE,Y11,READ,12.29508,2023,"Reading, writing and literature"
CHL,Y17,READ,7.30068,2023,"Reading, writing and literature"
FRA,Y6,SLAN,6.25,2023,Second language
DEU,Y12,SSCI,12.69111,2022,Social sciences
SVN,Y11,PHED,13.19779,2023,Physical education and health
ESP,Y11,PHED,9.07888,2023,Physical education and health
FRA,Y9,MATH,20.83333,2023,Mathematics
DEU,Y11,SLAN,13.6291,2022,Second language
ISL,Y14,PHED,8.10811,2023,Physical education and health
LVA,Y9,SLAN,8.57143,2023,Second language
NOR,Y7,MATH,17.95529,2023,Mathematics
EU25,Y13,NSCI,14.31615,2023,Natural sciences
CZE,Y7,ARTS,11.00917,2023,Arts
IRL,Y12,PHED,4.84079,2023,Physical education and health
ESP,Y10,MATH,16.51336,2023,Mathematics
FIN,Y7,NSCI,9.09091,2023,Natural sciences
LTU,Y15,PHED,6.26314,2023,Physical education and health
FRA,Y8,MATH,20.83333,2023,Mathematics
LTU,Y11,READ,20.65393,2023,"Reading, writing and literature"
LVA,Y7,ARTS,15.71429,2023,Arts
DNK,Y8,PHED,6.59341,2023,Physical education and health
POL,Y10,READ,20.83333,2023,"Reading, writing and literature"
BGR,Y12,SSCI,12.50017,2023,Social sciences
DNK,Y11,READ,18.75,2023,"Reading, writing and literature"
ESP,Y14,SSCI,9.62646,2023,Social sciences
DNK,Y7,ARTS,9.89011,2023,Arts
BGR,Y9,PHED,9.25884,2023,Physical education and health
CHL,Y7,NSCI,8.79874,2023,Natural sciences
POL,Y12,ARTS,8.0,2023,Arts
ESP,Y7,SLAN,10.98897,2023,Second language
OECD,Y12,SSCI,10.37054,2023,Social sciences
ISL,Y15,SLAN,18.91892,2023,Second language
TUR,Y8,ARTS,6.66667,2023,Arts
BGR,Y11,SLAN,9.37478,2023,Second language
CRI,Y10,ARTS,4.65116,2023,Arts
EU25,Y14,NSCI,13.80025,2023,Natural sciences
EST,Y10,NSCI,8.43373,2023,Natural sciences
LVA,Y11,MATH,18.82353,2023,Mathematics
TUR,Y14,READ,12.60204,2023,"Reading, writing and literature"
LVA,Y14,PHED,8.91089,2023,Physical education and health
DEU,Y7,READ,29.61191,2022,"Reading, writing and literature"
TUR,Y9,ARTS,6.66667,2023,Arts
LVA,Y13,PHED,8.91089,2023,Physical education and health
TUR,Y15,ARTS,4.84848,2023,Arts
NOR,Y10,SSCI,7.66322,2023,Social sciences
TUR,Y13,READ,14.24907,2023,"Reading, writing and literature"
ITA,Y14,SLAN,11.37165,2023,Second language
LTU,Y9,PHED,12.31139,2023,Physical education and health
ITA,Y13,PHED,6.66667,2023,Physical education and health
DNK,Y9,PHED,6.59341,2023,Physical education and health
OECD,Y7,READ,27.3017,2023,"Reading, writing and literature"
LVA,Y15,SLAN,14.85149,2023,Second language
BGR,Y7,READ,31.81796,2023,"Reading, writing and literature"
SVN,Y10,READ,17.76626,2023,"Reading, writing and literature"
OECD,Y15,PHED,6.71856,2023,Physical education and health
IRL,Y6,PHED,4.0,2023,Physical education and health
CZE,Y11,MATH,12.29508,2023,Mathematics
ISL,Y11,ARTS,19.99905,2023,Arts
ROU,Y10,SSCI,14.28571,2023,Social sciences
NOR,Y8,PHED,10.15024,2023,Physical education and health
ITA,Y15,SLAN,11.37165,2023,Second language
LUX,Y13,OLAN,8.30709,2023,Other languages
CZE,Y7,MATH,18.34862,2023,Mathematics
ISL,Y7,READ,23.33431,2023,"Reading, writing and literature"
ISL,Y9,PHED,10.00042,2023,Physical education and health
AUT,Y11,NSCI,9.67742,2023,Natural sciences
ISL,Y15,PHED,8.10811,2023,Physical education and health
LUX,Y6,MATH,21.42857,2023,Mathematics
LUX,Y10,SLAN,21.42857,2023,Second language
LUX,Y12,MATH,15.41011,2023,Mathematics
CZE,Y8,PHED,8.06452,2023,Physical education and health
DNK,Y11,MATH,13.39286,2023,Mathematics
ISL,Y8,NSCI,8.75036,2023,Natural sciences
ITA,Y15,ARTS,9.14075,2023,Arts
FIN,Y10,READ,19.01408,2023,"Reading, writing and literature"
DNK,Y13,PHED,5.0,2023,Physical education and health
LVA,Y11,ARTS,11.76471,2023,Arts
CHL,Y11,NSCI,10.47551,2023,Natural sciences
FRA,Y10,PHED,12.5,2023,Physical education and health
ISR,Y16,SSCI,13.06271,2023,Social sciences
NOR,Y11,MATH,15.23355,2023,Mathematics
BGR,Y13,SSCI,12.69841,2023,Social sciences
SVN,Y7,PHED,14.77295,2023,Physical education and health
TUR,Y16,READ,12.57576,2023,"Reading, writing and literature"
BFR,Y13,MATH,16.66667,2023,Mathematics
IRL,Y9,SLAN,14.0,2023,Second language
PRT,Y6,MATH,28.0,2023,Mathematics
CRI,Y11,PHED,4.65116,2023,Physical education and health
SVN,Y10,SLAN,10.65975,2023,Second language
SVN,Y12,MATH,13.49389,2023,Mathematics
OECD,Y9,PHED,9.3451,2023,Physical education and health
HRV,Y14,READ,15.38462,2023,"Reading, writing and literature"
TUR,Y14,ARTS,4.89796,2023,Arts
FRA,Y11,SSCI,11.29707,2023,Social sciences
ESP,Y11,SLAN,12.11646,2023,Second language
NOR,Y8,SLAN,4.4247,2023,Second language
DEU,Y15,PHED,6.99392,2022,Physical education and health
FRA,Y10,SLAN,6.25,2023,Second language
FRA,Y14,MATH,12.70161,2023,Mathematics
BFR,Y12,ARTS,3.33333,2023,Arts
DEU,Y9,PHED,10.30921,2022,Physical education and health
EU25,Y8,NSCI,6.4435,2023,Natural sciences
ISR,Y12,NSCI,12.96296,2023,Natural sciences
LTU,Y13,SSCI,13.76876,2023,Social sciences
OECD,Y14,SSCI,11.16939,2023,Social sciences
CRI,Y10,READ,23.25581,2023,"Reading, writing and literature"
ESP,Y15,SSCI,10.03715,2023,Social sciences
TUR,Y9,READ,26.66667,2023,"Reading, writing and literature"
LTU,Y16,SSCI,16.50421,2023,Social sciences
EU25,Y12,OLAN,4.41072,2023,Other languages
DEU,Y7,ARTS,12.54252,2022,Arts
TUR,Y10,NSCI,11.38628,2023,Natural sciences
ESP,Y9,SSCI,7.73189,2023,Social sciences
JPN,Y13,ARTS,6.55738,2023,Arts
BGR,Y7,ARTS,18.18204,2023,Arts
IRL,Y8,READ,20.0,2023,"Reading, writing and literature"
OECD,Y7,ARTS,12.06056,2023,Arts
TUR,Y12,SLAN,11.39277,2023,Second language
DEU,Y14,SSCI,12.4571,2022,Social sciences
OECD,Y11,SLAN,10.82827,2023,Second language
EST,Y14,READ,12.76596,2023,"Reading, writing and literature"
FIN,Y12,ARTS,13.63636,2023,Arts
PRT,Y12,MATH,13.32,2023,Mathematics
FIN,Y17,SLAN,8.0,2023,Second language
LVA,Y9,PHED,11.42857,2023,Physical education and health
SVN,Y10,ARTS,13.95988,2023,Arts
TUR,Y17,PHED,5.0,2023,Physical education and health
HRV,Y10,NSCI,16.66667,2023,Natural sciences
ISL,Y13,NSCI,8.10811,2023,Natural sciences
IRL,Y14,READ,8.60585,2023,"Reading, writing and literature"
KOR,Y7,MATH,14.6789,2023,Mathematics
ROU,Y16,ARTS,3.44828,2023,Arts
FIN,Y10,SLAN,9.50704,2023,Second language
FIN,Y12,MATH,14.61039,2023,Mathematics
FIN,Y13,MATH,12.94118,2023,Mathematics
GRC,Y12,ARTS,6.06061,2023,Arts
HRV,Y9,READ,27.77778,2023,"Reading, writing and literature"
ITA,Y11,MATH,20.0,2023,Mathematics
IRL,Y10,SSCI,8.0,2023,Social sciences
CHL,Y17,SLAN,4.86712,2023,Second language
ROU,Y11,OLAN,8.0,2023,Other languages
SVK,Y9,MATH,15.38462,2023,Mathematics
HRV,Y12,PHED,8.0,2023,Physical education and health
LTU,Y8,NSCI,4.28691,2023,Natural sciences
FIN,Y15,OLAN,4.70588,2023,Other languages
NOR,Y13,PHED,8.50496,2023,Physical education and health
TUR,Y16,ARTS,4.64646,2023,Arts
HUN,Y9,PHED,18.51852,2023,Physical education and health
HRV,Y14,SLAN,11.53846,2023,Second language
JPN,Y8,ARTS,11.45257,2023,Arts
BFR,Y17,READ,14.28571,2023,"Reading, writing and literature"
CRI,Y15,NSCI,20.45455,2023,Natural sciences
HUN,Y8,PHED,20.83333,2023,Physical education and health
LTU,Y11,SLAN,11.46053,2023,Second language
EU25,Y7,SLAN,5.21523,2023,Second language
POL,Y11,SSCI,12.0,2023,Social sciences
ROU,Y6,PHED,10.52632,2023,Physical education and health
OECD,Y8,SSCI,5.71664,2023,Social sciences
EU25,Y15,SSCI,11.46134,2023,Social sciences
DEU,Y11,READ,14.67163,2022,"Reading, writing and literature"
LVA,Y15,READ,14.85149,2023,"Reading, writing and literature"
CRI,Y7,PHED,4.65116,2023,Physical education and health
TUR,Y8,SLAN,6.66667,2023,Second language
EST,Y9,READ,27.94118,2023,"Reading, writing and literature"
JPN,Y12,READ,13.11475,2023,"Reading, writing and literature"
BGR,Y9,SSCI,7.40811,2023,Social sciences
CHL,Y12,ARTS,7.70426,2023,Arts
EST,Y15,ARTS,6.38298,2023,Arts
TUR,Y6,PHED,16.66667,2023,Physical education and health
BGR,Y8,SSCI,4.34864,2023,Social sciences
CHL,Y13,ARTS,7.70196,2023,Arts
ISR,Y7,READ,31.73732,2023,"Reading, writing and literature"
EU25,Y10,MATH,15.39024,2023,Mathematics
JPN,Y13,READ,13.11475,2023,"Reading, writing and literature"
LVA,Y12,SSCI,8.23529,2023,Social sciences
HUN,Y12,SSCI,13.33333,2023,Social sciences
NOR,Y14,SLAN,8.46682,2023,Second language
HUN,Y11,MATH,14.28571,2023,Mathematics
ISR,Y11,SLAN,11.94824,2023,Second language
ISL,Y12,NSCI,8.09485,2023,Natural sciences
FRA,Y11,NSCI,15.06276,2023,Natural sciences
JPN,Y9,ARTS,10.96892,2023,Arts
LTU,Y8,SSCI,4.28691,2023,Social sciences
CZE,Y13,SSCI,9.01639,2023,Social sciences
SVN,Y6,MATH,18.06483,2023,Mathematics
DNK,Y7,MATH,16.48352,2023,Mathematics
POL,Y11,NSCI,4.0,2023,Natural sciences
FRA,Y6,READ,41.66667,2023,"Reading, writing and literature"
LTU,Y14,SSCI,13.76876,2023,Social sciences
DEU,Y8,SSCI,6.51781,2022,Social sciences
NOR,Y12,PHED,11.02707,2023,Physical education and health
EU25,Y9,SSCI,4.88437,2023,Social sciences
CRI,Y14,OLAN,7.14286,2023,Other languages
FIN,Y11,NSCI,10.56338,2023,Natural sciences
ROU,Y14,ARTS,6.66667,2023,Arts
CZE,Y9,PHED,8.06452,2023,Physical education and health
IRL,Y8,SLAN,14.0,2023,Second language
AUT,Y12,MATH,11.93772,2023,Mathematics
GRC,Y7,NSCI,9.94825,2023,Natural sciences
SVK,Y14,MATH,16.66667,2023,Mathematics
LUX,Y10,READ,25.0,2023,"Reading, writing and literature"
AUT,Y10,SLAN,13.7931,2023,Second language
GRC,Y6,SLAN,6.66667,2023,Second language
GRC,Y8,MATH,13.26687,2023,Mathematics
KOR,Y13,PHED,8.08081,2023,Physical education and health
LTU,Y7,READ,31.97668,2023,"Reading, writing and literature"
CZE,Y11,ARTS,8.19672,2023,Arts
DNK,Y12,SSCI,5.35714,2023,Social sciences
FIN,Y17,READ,8.0,2023,"Reading, writing and literature"
LUX,Y14,OLAN,13.33333,2023,Other languages
ROU,Y13,READ,13.33333,2023,"Reading, writing and literature"
ROU,Y17,PHED,3.57143,2023,Physical education and health
HUN,Y7,MATH,16.66667,2023,Mathematics
