iso3,age,subject,value,year,subject_label
HUN,Y6,PHED,20.83333,2023,Physical education and health
ROU,Y12,MATH,14.81481,2023,Mathematics
ROU,Y10,SLAN,9.52381,2023,Second language
SVK,Y9,ARTS,7.69231,2023,Arts
NOR,Y14,READ,15.17925,2023,"Reading, writing and literature"
DEU,Y6,NSCI,3.06589,2022,Natural sciences
EST,Y14,PHED,6.38298,2023,Physical education and health
HUN,Y12,PHED,16.66667,2023,Physical education and health
ESP,Y14,NSCI,14.35531,2023,Natural sciences
ISR,Y9,NSCI,8.09014,2023,Natural sciences
DEU,Y12,NSCI,11.0326,2022,Natural sciences
DEU,Y10,OLAN,0.30468,2022,Other languages
CHL,Y8,MATH,16.2139,2023,Mathematics
SVN,Y14,PHED,9.16581,2023,Physical education and health
ROU,Y6,MATH,15.78947,2023,Mathematics
CRI,Y16,READ,11.36364,2023,"Reading, writing and literature"
LTU,Y13,READ,17.43247,2023,"Reading, writing and literature"
OECD,Y10,PHED,9.09057,2023,Physical education and health
LUX,Y7,MATH,21.42857,2023,Mathematics
BFR,Y15,SLAN,14.28571,2023,Second language
LVA,Y9,SSCI,4.28571,2023,Social sciences
OECD,Y14,READ,13.77977,2023,"Reading, writing and literature"
GRC,Y14,READ,23.52941,2023,"Reading, writing and literature"
SVK,Y6,MATH,18.18182,2023,Mathematics
EU25,Y13,SSCI,10.23287,2023,Social sciences
CHL,Y12,SLAN,8.01896,2023,Second language
CHL,Y8,READ,21.61854,2023,"Reading, writing and literature"
KOR,Y8,PHED,10.34483,2023,Physical education and health
ROU,Y9,ARTS,10.0,2023,Arts
EST,Y9,SLAN,4.41176,2023,Second language
ROU,Y13,NSCI,20.0,2023,Natural sciences
